tx_id,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,card_id,Class
4000,864.39,0.643107,-0.829397,0.858218,1.815146,-0.481219,0.68671,-1.611715,-2.016133,0.558797,-0.010533,0.146454,-0.636287,-0.346797,0.758107,1.665701,-0.269089,-1.703231,1.222486,0.550751,0.630251,0.130431,2.272222,0.02409,0.462957,-1.905266,-0.630625,-0.738422,-0.081163,40.42,CARD044,0
4001,939.31,-0.303625,-2.549137,-0.000367,-1.7164,0.059102,-1.726729,-0.063258,0.121688,0.370652,0.961987,-0.485261,0.311704,-0.409928,0.371887,-0.676444,1.705556,1.19285,-1.314845,-1.489762,-0.373716,-0.076309,-0.818513,1.495265,0.500329,0.89139,-0.275982,-0.152285,-0.984809,4.55,CARD008,0
4002,1015.96,-0.268836,0.380378,0.286495,0.272716,-0.192203,-1.516762,0.252934,0.284382,1.291659,-0.045239,1.154633,1.258167,-2.048292,-1.096185,-0.063733,-0.031723,1.900165,-0.393205,0.224023,-1.395343,-1.324355,0.310297,0.685035,1.556189,-1.300493,-0.11274,-0.243777,-1.006779,42.07,CARD048,0
4003,1107.15,0.233684,-0.609799,0.566138,1.171889,-1.227538,0.210047,-1.087117,-1.915552,-0.14949,0.196539,0.084662,-0.154578,0.332044,0.710396,-1.174994,-1.385164,-0.055871,0.918755,1.147367,-0.753016,-0.669117,1.447936,0.928634,0.202671,-0.114501,0.079745,-0.740964,2.760554,37.19,CARD012,0
4004,1384.31,-0.392933,0.615942,-0.701583,-0.261808,0.326517,1.275654,1.837587,1.654105,0.492904,-1.283188,-0.297073,-0.058194,0.38074,-0.442456,0.570925,0.109934,-0.906595,-1.468368,0.158113,-1.106644,-2.227498,-0.315117,-0.668558,0.134634,-1.033281,0.884474,-1.010666,-3.281006,81.13,CARD008,0
4005,2056.16,-0.965604,-0.060712,0.859108,0.864377,0.950558,1.395121,1.581265,0.102709,-0.258408,-1.822908,0.812219,1.244146,-0.013698,0.9764,-0.309253,0.23752,-0.814618,2.049535,1.675084,-1.458461,0.317207,0.081638,0.171854,1.029763,-0.196042,0.676687,-0.275562,2.396884,4.32,CARD068,0
4006,2100.02,-0.188997,-0.101658,0.389959,1.238174,-0.228429,0.79752,0.821505,-0.533999,-2.169829,0.077314,0.269874,1.286744,-2.09089,0.62213,-0.192522,0.389596,1.186818,0.359185,0.624466,0.33537,-1.140778,0.308458,-0.376148,0.373066,-1.763535,0.742951,0.259333,-0.129508,15.89,CARD049,0
4007,2403.98,0.234388,-0.197554,-0.199016,-0.163342,-0.163028,-0.234414,1.615476,1.846588,-0.584894,0.117372,-1.303449,-0.542648,1.662261,-0.732689,-0.75535,-0.720137,-0.316444,0.536989,0.102368,1.573052,0.475362,0.152804,1.13342,0.377215,-0.944255,-0.434298,1.3405,0.409043,46.3,CARD024,0
4008,2456.41,2.824658,-1.153938,1.128524,1.089227,0.001597,-0.142927,0.082275,0.733385,0.176883,-1.126052,0.584789,-0.426044,-1.267962,-1.565539,0.850229,0.121133,1.067423,0.122208,-2.241814,0.647192,0.583376,-1.166868,-0.691906,-0.517793,0.495649,-0.134969,0.126173,-0.965049,38.17,CARD051,0
4009,3169.97,0.530447,-1.017814,1.78507,-0.099645,-1.558606,-1.427166,0.795425,0.724351,1.918642,1.699216,1.261521,-0.619027,0.221716,3.728128,0.839456,-1.186992,0.950922,0.757999,0.878144,-2.88656,-1.800945,1.046681,-0.640553,2.208978,0.617958,-0.476368,0.89074,-0.092273,34.57,CARD016,0
4010,3192.59,0.600221,1.280699,0.412857,-0.171842,0.589892,0.439835,-0.002504,-0.673874,1.364371,1.184854,0.648787,2.796503,0.104932,-0.870052,0.9477,0.663594,-0.042957,0.429192,-0.050125,-0.639604,-0.886748,-0.010458,-0.746424,0.83505,-0.392856,0.906574,-0.281978,-0.029919,102.87,CARD040,0
4011,3239.33,1.30307,0.550373,1.779512,0.795868,1.219665,0.228054,-0.485401,1.152602,0.276734,-0.922813,-0.697436,1.673789,0.237433,-0.643593,0.958619,-0.579459,-0.029258,-1.848659,0.696776,-1.449227,-0.871698,0.968572,-0.162618,-1.718528,0.899398,-0.095073,-1.179835,0.436973,15.93,CARD051,0
4012,3701.08,0.665434,-0.095929,-0.776291,-0.941989,-0.609428,0.598947,0.503119,0.245146,1.27522,-0.324568,-0.399271,-0.403428,1.768535,-1.982384,0.237895,0.385681,0.023484,2.17173,1.072951,0.695698,-0.879739,0.439326,-0.380987,0.012636,0.16107,-0.482114,0.569881,1.511308,49.56,CARD063,0
4013,3927.03,-0.754363,-1.094557,-1.219393,0.119493,0.741942,-1.590153,-0.016836,0.14872,1.371807,0.304415,-1.905088,0.57389,-0.906995,-1.987695,1.205326,0.353776,-0.184373,0.807282,1.651013,-1.068792,-0.226305,-0.999917,0.670792,0.708107,0.074917,0.588048,-0.304744,-0.003637,37.0,CARD064,0
4014,4029.8,0.11099,-0.056964,1.160262,0.877169,0.209633,-0.504841,-0.517531,-0.069314,1.312616,-0.673745,-0.669973,0.295215,0.778348,-0.968325,-0.108744,0.059403,0.504931,-0.044602,-0.086023,-0.605486,-0.334264,-0.549194,0.034175,0.622664,-0.567571,-1.305305,-0.281752,-1.652841,45.1,CARD041,0
4015,4131.83,-1.434244,-1.30855,0.049746,0.058061,0.738521,0.399118,-0.458271,-0.12793,1.065352,-0.898057,2.188086,0.308629,1.016426,0.971404,0.846303,2.146026,-0.628149,0.177825,-0.716828,-0.999627,-1.267747,-0.840467,0.177871,0.546575,0.149196,-0.057953,1.311902,-1.331666,15.54,CARD024,0
4016,4192.16,-0.92747,-1.135792,0.341014,-0.532374,1.016052,1.846634,1.08053,-0.905994,-0.966388,-1.862298,0.557162,0.390464,-0.231427,0.467652,1.439845,0.242121,-0.966281,-0.126269,-0.208521,1.842052,-0.621025,1.644516,-0.017078,2.120316,-0.715421,1.016204,-0.239599,1.297483,13.47,CARD034,0
4017,4227.03,0.273383,0.263271,0.453215,1.444428,2.462528,0.85608,0.599761,-0.599366,-0.151289,1.462095,-0.15935,-0.750029,-0.596722,0.316581,-1.324435,-0.166776,-0.735668,1.252027,-0.158631,-0.043778,-0.173608,-0.059043,0.712299,0.400972,1.092358,0.572218,0.758881,1.224108,32.29,CARD025,0
4018,4395.48,0.864491,1.676602,0.5556,3.250045,0.148439,-1.135482,-1.475027,0.239018,0.833102,0.926906,0.023611,1.330602,0.053505,-0.394758,-0.162584,0.089913,0.622397,-1.232237,-1.062379,1.177871,-0.365105,1.186732,0.65741,0.315687,1.220792,-0.145199,0.672355,0.832563,44.64,CARD058,0
4019,4571.95,-1.370968,-1.005784,-0.319785,2.129717,0.460092,-0.388511,-2.247406,1.419642,-0.804094,-0.332027,-0.529913,1.354268,0.667366,-0.681124,2.778307,0.589024,0.011668,1.618648,-0.600033,-0.938256,0.751919,0.852565,-0.933879,-0.725939,0.63103,2.202832,-0.656815,0.885291,14.62,CARD047,0
4020,4603.79,-0.5387,-0.751957,0.719994,0.482283,1.622759,-0.194139,-0.294097,1.003492,1.740617,0.720182,0.393724,0.503245,0.203873,2.346525,-0.047174,-1.463183,0.247295,-1.620552,0.61044,-0.337334,-0.018462,0.053213,1.841961,1.310917,1.677338,0.508802,1.219704,-0.187537,7.66,CARD027,0
4021,4812.86,1.466569,0.147172,0.307157,1.148797,-0.988084,-0.567158,-0.303228,-1.038067,0.242259,-0.967122,0.268871,0.036942,0.036539,0.497893,-0.335921,0.71449,-0.360803,0.009223,-0.079922,0.78798,0.212455,-0.88628,1.922606,1.233691,0.112087,0.67843,-0.854086,0.833953,336.5,CARD019,0
4022,4934.17,-0.958021,0.543821,-0.012279,1.298523,0.169753,-0.65073,0.305382,-0.094201,-1.934767,-1.553658,0.014749,0.783102,1.573121,-0.582495,0.711789,0.43415,-0.795903,1.463923,-1.088019,0.016508,-0.195138,0.493942,-0.318365,0.83729,0.380869,0.070071,-1.259411,-0.650691,206.37,CARD043,0
4023,4945.54,0.525291,0.174798,0.161618,-0.174336,-0.145486,-0.959781,-1.453716,1.094601,-0.66181,0.194063,-1.522877,0.13034,-0.851694,2.928281,-1.041714,-0.988818,0.911097,1.104539,-2.124502,0.225854,0.846473,-1.245551,0.652247,-0.552591,-1.021073,-0.377056,-0.487383,-1.410537,30.54,CARD058,0
4024,5314.03,0.536948,-0.864297,-0.383244,0.297132,-1.194661,-0.754388,0.015356,0.086476,0.03857,-0.998605,-0.005816,0.155385,-1.299682,1.407901,0.106451,-0.283052,-0.118629,-0.884798,-1.159418,-1.104496,-0.764208,-0.860835,1.005208,-0.03061,-0.599831,0.505471,-0.55626,0.426327,28.94,CARD034,0
4025,5594.21,-0.027429,1.419204,-0.176096,0.651275,0.127359,1.215407,0.987996,-0.317718,1.46755,1.27278,1.308352,-0.597586,-1.78636,0.051251,1.434485,-0.973436,-0.223212,1.126104,-2.781506,-0.582738,0.858856,1.196473,0.350287,-0.828478,-3.031355,-1.378404,-2.229339,-0.990757,17.28,CARD029,0
4026,5669.6,-0.270984,-0.452492,-0.407863,0.268968,-0.37591,-0.388644,-1.462748,1.820631,-1.199931,1.585338,0.742727,0.961522,0.231408,0.454143,0.262192,0.551473,0.789325,1.445395,-0.962632,0.457273,1.538314,1.328258,-0.991539,0.292354,0.261515,0.232301,-2.168604,0.827219,51.06,CARD034,0
4027,5719.13,0.236376,0.26936,-0.454031,-1.117477,0.457789,0.250405,-0.130944,0.286829,-0.264226,-0.720684,-1.151128,-0.373976,1.313915,0.887791,-1.2377,-0.754602,2.532479,-0.308839,0.763504,0.453988,-0.958141,-1.642902,-0.51859,-1.279916,-1.20112,-1.093449,0.942073,-0.729979,17.35,CARD054,0
4028,5735.29,-0.443324,0.369585,-0.322803,-0.781939,1.41907,1.114878,-1.707213,-0.132878,-0.3415,-1.560314,0.175655,0.509876,0.059264,0.464884,1.754601,-0.434901,1.244244,2.16301,-2.848669,-0.210409,1.349578,0.348851,-0.587754,1.42338,0.890929,-1.567117,0.828076,-0.161331,47.01,CARD067,0
4029,5746.63,-0.837822,-0.849934,1.096983,1.43501,-1.070369,0.617478,1.255012,-0.396152,0.546806,-1.351068,0.121995,-0.279161,1.110007,0.511847,-1.12733,-0.386842,-0.613871,-0.293271,0.536547,-0.839583,-3.382803,-0.911334,1.382307,-0.501519,-0.545091,0.729532,0.964422,-0.253485,66.81,CARD055,0
4030,5816.07,0.553089,-0.737894,2.291624,-0.12965,0.715556,-0.40142,-0.156537,-0.417834,1.398757,1.105514,0.494726,-0.544734,0.09766,0.63523,-0.856844,0.429777,-1.763642,-0.590028,-0.515765,-0.279491,1.787124,-1.432178,0.192981,-0.501142,-1.070485,-0.679101,-1.449775,0.288014,17.61,CARD010,0
4031,6000.57,1.600943,0.907195,-0.815268,-1.715396,-1.113494,0.172704,-0.792336,-0.848402,0.714052,-0.290482,-0.388539,0.208234,1.444032,0.300891,0.684128,0.076084,1.543559,-1.232088,-1.126903,-0.513565,2.021124,1.53875,-1.103349,-0.462684,0.545471,0.065445,0.883133,-0.49479,25.35,CARD033,0
4032,6234.15,0.613016,-0.17257,0.731848,-0.881048,0.473604,-0.604249,1.893394,1.091505,1.602367,0.741113,1.27548,-0.617446,-1.750783,1.590952,0.256292,0.138634,-2.485488,2.562806,0.137439,0.269706,-0.473132,0.869477,0.199928,-3.215776,-0.925895,0.564739,0.440801,-1.51881,46.94,CARD044,0
4033,6673.8,0.958847,-0.022764,-0.974061,1.325785,-0.680802,1.336795,-0.273698,-0.763023,-0.217278,-0.685356,-0.170269,0.492011,-0.260529,-0.458515,-0.02259,0.386803,0.00024,0.538103,0.576556,0.285672,0.710434,0.013027,1.130626,0.401748,0.831219,-0.191869,-1.406852,-0.442155,46.67,CARD037,0
4034,6694.49,0.284843,-0.494272,0.535313,-0.081213,-0.480907,0.559994,-0.493083,0.079806,-0.546995,0.664821,-0.210437,0.46989,1.009896,-0.252231,-0.290284,-0.953548,-1.144138,2.490819,-0.492269,0.485663,-0.140786,-0.725626,-1.31993,0.387774,0.875031,-0.187063,-2.21116,-0.347438,24.83,CARD008,0
4035,6830.48,0.632878,0.922063,0.198351,-0.201642,-0.612121,-1.548977,-0.394996,0.975147,0.644895,1.981637,-0.122615,-1.680645,0.81182,1.012512,-1.093289,-1.518553,0.167166,0.700798,-1.048078,-0.303031,-0.720247,-1.10791,-1.236476,0.153555,-0.335837,-0.621019,-2.471127,1.687497,30.65,CARD056,0
4036,6885.18,-0.316304,0.841358,0.504872,-1.606622,0.599311,-1.549126,-0.570311,1.290889,0.042511,-0.247829,-2.647085,0.667175,-0.271573,-0.099002,-1.305244,-0.982906,-0.087119,-1.956482,0.699898,0.681162,-1.069055,-0.94061,0.078811,-0.030181,-0.864757,-0.137236,-1.098358,-1.620469,20.02,CARD013,0
